2011 census qs407ew - number of rooms,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 13 April 2013],,,,,,,,,,
,,,,,,,,,,
population,All occupied household spaces,,,,,,,,,
units,Household spaces,,,,,,,,,
date,2011,,,,,,,,,
,,,,,,,,,,
Area,All categories: Number of rooms,1 room,2 rooms,3 rooms,4 rooms,5 rooms,6 rooms,7 rooms,8 rooms,9 or more rooms
ualad09:Knowsley,"61,323",110,678,"4,491","10,043","21,278","14,283","5,995","2,832","1,613"
ualad09:Liverpool,"206,515","2,082","7,072","25,403","38,579","55,875","45,664","16,450","9,007","6,383"
ualad09:Sefton,"117,930",468,"1,987","9,561","16,815","27,580","30,248","15,132","8,476","7,663"
ualad09:St. Helens,"75,736",144,763,"4,904","12,418","24,277","19,185","7,525","3,794","2,726"
ualad09:Wirral,"140,583",393,"1,999","11,094","20,922","32,805","35,361","17,953","10,535","9,521"
ualad09:East Riding of Yorkshire,"143,032",251,"1,655","8,062","24,894","34,883","29,967","17,563","12,317","13,440"
"ualad09:Kingston upon Hull, City of","112,596",635,"2,973","12,575","29,994","34,621","19,406","7,026","3,258","2,108"
ualad09:North East Lincolnshire,"69,707",223,987,"5,526","9,706","20,054","18,833","7,575","4,016","2,787"
ualad09:North Lincolnshire,"70,684",139,627,"4,361","10,231","18,896","18,158","8,075","5,143","5,054"
ualad09:York,"83,552",471,"1,963","8,097","17,198","20,365","15,993","9,021","5,677","4,767"
ualad09:Craven,"24,583",68,433,"1,591","4,594","5,934","5,052","2,905","1,872","2,134"
ualad09:Hambleton,"38,117",46,378,"2,291","5,961","7,646","7,478","4,936","3,904","5,477"
ualad09:Harrogate,"67,169",293,"1,106","5,346","11,668","14,022","12,467","8,289","6,188","7,790"
ualad09:Richmondshire,"20,207",77,320,"1,019","3,464","4,662","4,156","2,623","1,747","2,139"
ualad09:Ryedale,"22,524",45,259,"1,144","3,952","5,068","4,445","2,963","2,032","2,616"
ualad09:Scarborough,"49,435",237,"1,333","4,892","10,398","12,113","9,286","5,096","3,037","3,043"
ualad09:Selby,"34,559",61,416,"1,808","5,546","8,719","6,865","4,379","3,224","3,541"
